ticker,start,end,n_days,coverage,zero_vol,status
HPG,2015-09-28,2026-04-23,2641,91.5,0,OK
STB,2015-09-28,2026-04-23,2641,91.5,0,OK
PDR,2015-09-28,2026-04-23,2641,91.5,0,OK
MWG,2015-09-28,2026-04-23,2641,91.5,0,OK
MSN,2015-09-28,2026-04-23,2641,91.5,0,OK
MBB,2015-09-28,2026-04-23,2641,91.5,0,OK
DHG,2015-09-28,2026-04-23,2641,91.5,0,OK
DPM,2015-09-28,2026-04-23,2641,91.5,0,OK
EIB,2015-09-28,2026-04-23,2641,91.5,0,OK
KDH,2015-09-28,2026-04-23,2641,91.5,0,OK
HSG,2015-09-28,2026-04-23,2641,91.5,0,OK
GMD,2015-09-28,2026-04-23,2641,91.5,0,OK
ACB,2015-09-28,2026-04-23,2638,91.4,0,OK
VNM,2015-11-26,2026-04-23,2598,90.1,0,OK
VCB,2015-11-26,2026-04-23,2598,90.1,0,OK
NT2,2015-11-26,2026-04-23,2598,90.1,0,OK
GAS,2015-11-26,2026-04-23,2598,90.1,0,OK
BVH,2015-11-26,2026-04-23,2598,90.1,0,OK
CII,2015-11-26,2026-04-23,2598,90.1,0,OK
BMP,2015-11-26,2026-04-23,2598,90.1,0,OK
BID,2015-11-26,2026-04-23,2598,90.1,0,OK
FPT,2015-12-04,2026-04-23,2592,89.8,0,OK
SSI,2015-12-08,2026-04-23,2590,89.8,0,OK
VIC,2015-12-07,2026-04-23,2591,89.8,0,OK
CTG,2015-12-17,2026-04-23,2583,89.5,0,OK
DGC,2015-12-24,2026-04-23,2574,89.2,0,OK
KDC,2016-01-13,2026-04-23,2565,88.9,0,LATE START
REE,2016-02-26,2026-04-23,2538,88.0,0,LATE START
SHB,2016-04-04,2026-04-23,2511,87.0,0,LATE START
SBT,2016-04-19,2026-04-23,2502,86.7,0,LATE START
CTD,2016-04-19,2026-04-23,2502,86.7,0,LATE START
PNJ,2016-04-25,2026-04-23,2498,86.6,0,LATE START
TCH,2016-10-05,2026-04-23,2384,82.6,0,LATE START
SAB,2016-12-06,2026-04-23,2340,81.1,0,LATE START
NVL,2016-12-28,2026-04-23,2324,80.6,0,LATE START
VIB,2017-01-09,2026-04-23,2311,80.1,0,LATE START
VJC,2017-02-28,2026-04-23,2286,79.2,0,LATE START
PLX,2017-04-21,2026-04-23,2249,78.0,0,LATE START
VPB,2017-08-17,2026-04-23,2167,75.1,0,LATE START
LPB,2017-10-05,2026-04-23,2125,73.7,0,LATE START
VRE,2017-11-06,2026-04-23,2108,73.1,0,LATE START
HDB,2018-01-05,2026-04-23,2068,71.7,0,LATE START
POW,2018-03-06,2026-04-23,2024,70.2,0,LATE START
BCM,2018-02-21,2026-04-23,2020,70.0,0,LATE START
GVR,2018-03-21,2026-04-23,2016,69.9,0,LOW COVERAGE
TPB,2018-04-19,2026-04-23,2001,69.4,0,LOW COVERAGE
VHM,2018-05-17,2026-04-23,1982,68.7,0,LOW COVERAGE
TCB,2018-06-04,2026-04-23,1972,68.4,0,LOW COVERAGE
SSB,2021-03-24,2026-04-23,1269,44.0,0,LOW COVERAGE
VPL,2025-05-13,2026-04-23,239,8.3,0,LOW COVERAGE
