date,vol_regime
2014-10-10,
2014-10-17,
2014-10-24,
2014-10-31,
2014-11-07,
2014-11-14,
2014-11-21,
2014-11-28,
2014-12-05,
2014-12-12,
2014-12-19,
2014-12-26,
2015-01-02,
2015-01-09,
2015-01-16,
2015-01-23,
2015-01-30,
2015-02-06,
2015-02-13,
2015-02-20,
2015-02-27,0.0
2015-03-06,0.0
2015-03-13,0.0
2015-03-20,0.0
2015-03-27,0.0
2015-04-03,2.0
2015-04-10,2.0
2015-04-17,1.0
2015-04-24,1.0
2015-05-01,1.0
2015-05-08,0.0
2015-05-15,1.0
2015-05-22,1.0
2015-05-29,1.0
2015-06-05,1.0
2015-06-12,1.0
2015-06-19,0.0
2015-06-26,0.0
2015-07-03,0.0
2015-07-10,1.0
2015-07-17,0.0
2015-07-24,0.0
2015-07-31,0.0
2015-08-07,0.0
2015-08-14,1.0
2015-08-21,1.0
2015-08-28,2.0
2015-09-04,2.0
2015-09-11,2.0
2015-09-18,2.0
2015-09-25,2.0
2015-10-02,2.0
2015-10-09,2.0
2015-10-16,1.0
2015-10-23,1.0
2015-10-30,0.0
2015-11-06,0.0
2015-11-13,0.0
2015-11-20,0.0
2015-11-27,1.0
2015-12-04,1.0
2015-12-11,0.0
2015-12-18,1.0
2015-12-25,0.0
2016-01-01,1.0
2016-01-08,1.0
2016-01-15,1.0
2016-01-22,2.0
2016-01-29,2.0
2016-02-05,2.0
2016-02-12,
2016-02-19,1.0
2016-02-26,0.0
2016-03-04,0.0
2016-03-11,0.0
2016-03-18,1.0
2016-03-25,0.0
2016-04-01,0.0
2016-04-08,1.0
2016-04-15,0.0
2016-04-22,1.0
2016-04-29,0.0
2016-05-06,0.0
2016-05-13,0.0
2016-05-20,0.0
2016-05-27,2.0
2016-06-03,1.0
2016-06-10,0.0
2016-06-17,0.0
2016-06-24,0.0
2016-07-01,0.0
2016-07-08,1.0
2016-07-15,1.0
2016-07-22,1.0
2016-07-29,1.0
2016-08-05,1.0
2016-08-12,1.0
2016-08-19,1.0
2016-08-26,0.0
2016-09-02,0.0
2016-09-09,0.0
2016-09-16,0.0
2016-09-23,1.0
2016-09-30,1.0
2016-10-07,0.0
2016-10-14,0.0
2016-10-21,0.0
2016-10-28,0.0
2016-11-04,0.0
2016-11-11,1.0
2016-11-18,1.0
2016-11-25,0.0
2016-12-02,1.0
2016-12-09,0.0
2016-12-16,0.0
2016-12-23,0.0
2016-12-30,0.0
2017-01-06,0.0
2017-01-13,0.0
2017-01-20,0.0
2017-01-27,0.0
2017-02-03,0.0
2017-02-10,0.0
2017-02-17,0.0
2017-02-24,0.0
2017-03-03,0.0
2017-03-10,0.0
2017-03-17,0.0
2017-03-24,0.0
2017-03-31,0.0
2017-04-07,0.0
