,net_return
2016-04-08,0.9996767351294691
2016-04-15,1.018494880088688
2016-04-22,1.052127101016744
2016-04-29,1.101660570827039
2016-05-06,1.0615866582464855
2016-05-13,1.05852260641572
2016-05-20,1.072119607744277
2016-05-27,1.1111822272941878
2016-06-03,1.1354482233174035
2016-06-10,1.1126370377687649
2016-06-17,1.1633771536952922
2016-06-24,1.2314486729209806
2016-07-01,1.2794790483390923
2016-07-08,1.2441027712613137
2016-07-15,1.2131016955893708
2016-07-22,1.2336665264038336
2016-07-29,1.201680570348097
2016-08-05,1.2617714662878428
2016-08-12,1.34125050161743
2016-08-26,1.361345079372406
2016-09-02,1.355779697544471
2016-09-09,1.3226869089101678
2016-09-16,1.3714315054537698
2016-09-23,1.3909551110447729
2016-09-30,1.3503820258134513
2016-10-07,1.361250439209614
2016-10-14,1.3578209050564536
2016-10-21,1.3385274287806097
2016-10-28,1.3188211686065099
2016-11-04,1.350055854301688
2016-11-11,1.3267316833422413
2016-11-18,1.3404741745288296
2016-11-25,1.3273081423796858
2016-12-02,1.2919743683969505
2016-12-09,1.3199901678657409
2016-12-16,1.3067702340709824
2016-12-23,1.3217276370901867
2016-12-30,1.331505390345397
2017-01-06,1.3465904117452452
2017-01-13,1.3415966741282355
2017-01-20,1.3492141518278238
2017-01-27,1.3652003392208505
2017-02-03,1.3986458663491852
2017-02-10,1.4128377673455994
2017-02-17,1.4069781790587788
2017-02-24,1.4013375816522768
2017-03-03,1.458675508881615
2017-03-10,1.4597805253477463
2017-03-17,1.4625411491365872
2017-03-24,1.4623734912238708
2017-03-31,1.4813582005833406
2017-04-07,1.429527797059679
2017-04-14,1.416054266949099
2017-04-21,1.4662673508015167
2017-04-28,1.489043974070964
2017-05-05,1.5159187762240076
2017-05-12,1.5730628106802949
2017-05-19,1.6500387241650032
2017-05-26,1.6227631965102591
2017-06-02,1.6924751208060587
2017-06-09,1.7075559417230637
2017-06-16,1.7437600742460133
2017-06-23,1.7465109280852313
2017-06-30,1.7192450942708886
2017-07-07,1.7104038581649301
2017-07-14,1.687590500770671
2017-07-21,1.7288187956096555
2017-07-28,1.733359929604959
2017-08-04,1.6470171072115252
2017-08-11,1.6319445949726539
2017-08-18,1.634132892525372
2017-08-25,1.6931747672299478
2017-09-01,1.6608408877466205
2017-09-08,1.6854202651143815
2017-09-15,1.6607514141100406
2017-09-22,1.6577380290355086
2017-09-29,1.6650597350679903
2017-10-06,1.7149082329274157
2017-10-13,1.6922299114547212
2017-10-20,1.711282434817266
2017-10-27,1.6862773737323868
2017-11-03,1.7307588880525766
2017-11-10,1.771277297193876
2017-11-17,1.8683508309377848
2017-11-24,1.9179533825601194
2017-12-01,1.8836360449336231
2017-12-08,1.8887509900056765
2017-12-15,1.9013323033615925
2017-12-22,1.9551937299164284
2017-12-29,2.0220045798972768
2018-01-05,2.087197581502786
2018-01-12,2.121864733689062
2018-01-19,2.322896169852187
2018-01-26,2.3098979651187475
2018-02-02,2.113463213804457
2018-02-09,2.1767819654473457
2018-02-16,2.214598988998697
2018-02-23,2.252511959959128
2018-03-02,2.252261658280218
2018-03-09,2.3151580721219918
2018-03-16,2.331337837813844
2018-03-23,2.382309579964698
2018-03-30,2.4413225730553245
2018-04-06,2.3370371977317483
2018-04-13,2.265429618488987
2018-04-20,2.0747287919007618
2018-04-27,2.0115916977469146
2018-05-04,2.073666884024464
2018-05-11,2.0574248841730713
2018-05-18,1.9340468865008484
2018-05-25,1.968192199738076
2018-06-01,2.0035827909388932
2018-06-08,1.9700926859621213
2018-06-15,1.941224881444098
2018-06-22,1.9196302500389015
2018-06-29,1.8789209725059606
2018-07-06,1.8753961302978905
2018-07-13,1.9170405063060687
2018-07-20,1.9163603651497034
2018-07-27,1.9382470196935693
2018-08-03,1.9578737900057863
2018-08-10,1.9563644479162476
2018-08-17,1.975701390339412
2018-08-24,1.979660571458476
2018-08-31,1.943319946936151
