,net_return
2025-01-03,0.956545170325234
2025-01-10,0.9751885292731481
2025-01-17,1.0120503064441486
2025-01-24,1.0120503064441486
2025-01-31,1.0120503064441486
2025-02-14,1.0106644362573756
2025-02-21,1.007630761107543
2025-02-28,1.0125981622053335
2025-03-14,1.0166384445976946
2025-03-21,1.0551939000660369
2025-03-28,1.001476033832236
2025-04-04,1.017351592306054
2025-04-11,1.0222510420067232
2025-04-18,1.031103043296761
2025-04-25,1.0300903659490448
2025-05-02,1.0562529251038908
2025-05-09,1.058793099854438
2025-05-16,1.1315395119360603
2025-05-23,1.1697879703459562
2025-05-30,1.153151820772152
2025-06-06,1.083779749110819
2025-06-13,1.1170087261416715
2025-06-20,1.1428474892127738
2025-06-27,1.145267775088189
2025-07-04,1.1728138296679746
2025-07-11,1.2058235391690106
2025-07-18,1.2433064980328072
2025-07-25,1.2030973324810244
2025-08-01,1.2645168170743877
2025-08-08,1.3175889405630103
2025-08-15,1.3873797742004965
2025-08-22,1.4153274113145746
2025-08-29,1.388970382052809
2025-09-05,1.3662919019512396
2025-09-12,1.3507009761572708
2025-09-19,1.3471688329426834
2025-09-26,1.3481628472133376
2025-10-03,1.4158871609679935
2025-10-10,1.4222667431685545
2025-10-17,1.4132534428042973
2025-10-24,1.339523155801674
2025-10-31,1.3021373838478112
2025-11-07,1.3122054005733397
2025-11-14,1.3193415996592577
2025-11-21,1.3235339682393732
2025-11-28,1.3537888054023308
2025-12-05,1.3005325546210964
2025-12-12,1.3583335044541198
2025-12-19,1.3771263808523564
2025-12-26,1.4079558809111732
2026-01-02,1.4934549453985535
2026-01-09,1.528657321029854
2026-01-16,1.537061913949002
2026-01-23,1.636250116406923
2026-01-30,1.5760600912280376
2026-02-06,1.4723140381885687
2026-02-13,1.4723140381885687
2026-02-20,1.4723140381885687
2026-03-06,1.4283641891876255
2026-03-13,1.3729663432683585
2026-03-20,1.3632373296759492
2026-04-03,1.3930008793644986
2026-04-10,1.4033532504341846
2026-04-17,1.4177093449976979
2026-04-24,1.4177093449976979
