,net_return
2016-04-08,0.998982863682387
2016-04-15,1.0127854210694058
2016-04-22,1.0366151981408014
2016-04-29,1.0819608040678408
2016-05-06,1.023279519551613
2016-05-13,1.0247118112945188
2016-05-20,1.06162309807361
2016-05-27,1.124766174791858
2016-06-03,1.1711275255504752
2016-06-10,1.1486933349654065
2016-06-17,1.1696583557376088
2016-06-24,1.255967024440946
2016-07-01,1.321881506472519
2016-07-08,1.256440756280192
2016-07-15,1.2040665871649974
2016-07-22,1.2170769157875116
2016-07-29,1.2005796399421464
2016-08-05,1.2532338363888806
2016-08-12,1.3083491771519304
2016-08-26,1.3250631886126831
2016-09-02,1.3268508063659623
2016-09-09,1.2926783240404984
2016-09-16,1.3147440660124108
2016-09-23,1.3212404535436852
2016-09-30,1.2267646928142473
2016-10-07,1.2540335909703335
2016-10-14,1.2604037861252997
2016-10-21,1.2430752283958302
2016-10-28,1.246260421136922
2016-11-04,1.2900604875962602
2016-11-11,1.2740047716793053
2016-11-18,1.307087985855913
2016-11-25,1.319104810726764
2016-12-02,1.264248971501472
2016-12-09,1.2684500218075547
2016-12-16,1.2647640040171384
2016-12-23,1.2741287602438138
2016-12-30,1.2628258834961248
2017-01-06,1.278614316617716
2017-01-13,1.2702813959848789
2017-01-20,1.2748037506820427
2017-01-27,1.2833606989709438
2017-02-03,1.3206749194924823
2017-02-10,1.3265523599665618
2017-02-17,1.315917825980326
2017-02-24,1.302761380628388
2017-03-03,1.3976964374801533
2017-03-10,1.4008747514277062
2017-03-17,1.3872685970631953
2017-03-24,1.3933658339436836
2017-03-31,1.410628915906211
2017-04-07,1.3586896430871103
2017-04-14,1.3371620245020124
2017-04-21,1.4013418157755049
2017-04-28,1.4353007569622889
2017-05-05,1.4801665343255397
2017-05-12,1.528159245106342
2017-05-19,1.5751969842264937
2017-05-26,1.540878142231899
2017-06-02,1.6532566771024504
2017-06-09,1.682823207007642
2017-06-16,1.6944218106318516
2017-06-23,1.6846594589888952
2017-06-30,1.6365154073599388
2017-07-07,1.6323058585812897
2017-07-14,1.6016204024500116
2017-07-21,1.6641663659482728
2017-07-28,1.6542459750848089
2017-08-04,1.5155880363273795
2017-08-11,1.4971362457422668
2017-08-18,1.518493090084465
2017-08-25,1.5310052639650518
2017-09-01,1.5027793382921915
2017-09-08,1.5345004900033268
2017-09-15,1.5276108381180828
2017-09-22,1.541487331622685
2017-09-29,1.5542900670794122
2017-10-06,1.5979757363523608
2017-10-13,1.5729643071405381
2017-10-20,1.5957649731929573
2017-10-27,1.583191949506819
