,net_return
2016-04-08,0.998982863682387
2016-04-15,1.0127854210694058
2016-04-22,1.0366151981408014
2016-04-29,1.0819608040678408
2016-05-06,1.023279519551613
2016-05-13,1.0247118112945188
2016-05-20,1.06162309807361
2016-05-27,1.124766174791858
2016-06-03,1.1711275255504752
2016-06-10,1.1486933349654065
2016-06-17,1.1696583557376088
2016-06-24,1.255967024440946
2016-07-01,1.321881506472519
2016-07-08,1.256440756280192
2016-07-15,1.2040665871649974
2016-07-22,1.2170769157875116
2016-07-29,1.2005796399421464
2016-08-05,1.2599193034634928
2016-08-12,1.3075834519287697
2016-08-26,1.3269293399284547
2016-09-02,1.3250337807681658
2016-09-09,1.2853055467966201
2016-09-16,1.3207759249165723
2016-09-23,1.3335776096445024
2016-09-30,1.2714333661548527
2016-10-07,1.2878514425087093
2016-10-14,1.2921681328487
2016-10-21,1.2712601074675538
2016-10-28,1.2634149610826293
2016-11-04,1.2948635515409723
2016-11-11,1.2733220847472233
2016-11-18,1.3000675100906876
2016-11-25,1.3039681731955033
2016-12-02,1.2549729542216035
2016-12-09,1.2789855640381287
2016-12-16,1.2737163701633796
2016-12-23,1.2905709212324243
2016-12-30,1.2860081974952924
2017-01-06,1.3028319359605876
2017-01-13,1.2984421041458576
2017-01-20,1.303114242141041
2017-01-27,1.3144704731346672
2017-02-03,1.3510149956880524
2017-02-10,1.3569449623083585
2017-02-17,1.3450144814874927
2017-02-24,1.335236473711787
2017-03-03,1.4099254274444801
2017-03-10,1.4123599750643414
2017-03-17,1.4020133452179298
2017-03-24,1.403404196931842
2017-03-31,1.4133281725945745
2017-04-07,1.3631752317136228
2017-04-14,1.3435567403309963
2017-04-21,1.3987762914641493
2017-04-28,1.426545826657395
2017-05-05,1.461406668734544
2017-05-12,1.5167268541484447
2017-05-19,1.5761742313143423
2017-05-26,1.5457155626967947
2017-06-02,1.6462380876358589
2017-06-09,1.6703494414961995
2017-06-16,1.694040246620697
2017-06-23,1.6822740425584028
2017-06-30,1.640902782061109
2017-07-07,1.6349329421085672
2017-07-14,1.608385588661612
2017-07-21,1.6507367037510723
2017-07-28,1.6437845460876752
2017-08-04,1.5181830104873728
2017-08-11,1.5055565705749192
2017-08-18,1.5171809023796718
2017-08-25,1.5436785064046474
2017-09-01,1.5160858113032174
2017-09-08,1.5426730448770982
2017-09-15,1.5285154494928803
2017-09-22,1.5288151221057267
2017-09-29,1.5417512248322989
2017-10-06,1.5829436585583472
2017-10-13,1.5575789259767459
2017-10-20,1.5778702394205657
