,net_return
2016-04-08,0.9989214308792571
2016-04-15,0.9970639016961405
2016-04-22,1.011329376749252
2016-04-29,1.0510766245857386
2016-05-06,1.0034912028305365
2016-05-13,1.0026315608634162
2016-05-20,1.0257461424688186
2016-05-27,1.0727749583793993
2016-06-03,1.1075249387648844
2016-06-10,1.0868428934180676
2016-06-17,1.1163596958466673
2016-06-24,1.1924373321430477
2016-07-01,1.2434644696874195
2016-07-08,1.187274485414577
2016-07-15,1.1466306434487363
2016-07-22,1.1647783577966804
2016-07-29,1.1457000290655415
2016-08-05,1.201309855561332
2016-08-12,1.2520805654515466
2016-08-26,1.2678915441453231
2016-09-02,1.266898321577578
2016-09-09,1.2336966138035692
2016-09-16,1.272645628125395
2016-09-23,1.2846330075073187
2016-09-30,1.2210280683986832
2016-10-07,1.2329673046306586
2016-10-14,1.2318074901085299
2016-10-21,1.212222090821742
2016-10-28,1.2006696004373243
2016-11-04,1.228175444366508
2016-11-11,1.2075666241558147
2016-11-18,1.2283000741151686
2016-11-25,1.2296567423109395
2016-12-02,1.1867245225996834
2016-12-09,1.2069131602152618
2016-12-16,1.1985170575176576
2016-12-23,1.211091051498706
2016-12-30,1.2114005262517387
2017-01-06,1.2253628559356828
2017-01-13,1.2206949701001704
2017-01-20,1.2268094934851845
2017-01-27,1.2382196634624365
2017-02-03,1.2697245959995114
2017-02-10,1.2758654023517353
2017-02-17,1.266127636754694
2017-02-24,1.257075804585594
2017-03-03,1.3269222292069145
2017-03-10,1.3314117712504905
2017-03-17,1.3201003105338924
2017-03-24,1.3235613103937502
2017-03-31,1.3253259074506691
2017-04-07,1.2868364114383841
2017-04-14,1.2695318068868833
2017-04-21,1.3228208922546945
2017-04-28,1.34711086187242
2017-05-05,1.3829710567022306
2017-05-12,1.437989257392622
2017-05-19,1.5052374448789823
2017-05-26,1.474196416980674
2017-06-02,1.5658784010735682
2017-06-09,1.591066163280156
2017-06-16,1.6153790790643718
2017-06-23,1.610759825306609
2017-06-30,1.5741070757390867
2017-07-07,1.5685413414229852
2017-07-14,1.5427738248172838
2017-07-21,1.587447997650717
2017-07-28,1.581722888089247
